Symbol	RNA
Tmem79	Tmem79	Gene Expression
Smg5	Smg5	Gene Expression
Bglap3	Bglap3	Gene Expression
Pmf1	Pmf1	Gene Expression
Slc25a44	Slc25a44	Gene Expression
Sema4a	Sema4a	Gene Expression
Lmna	Lmna	Gene Expression
Lamtor2	Lamtor2	Gene Expression
Ubqln4	Ubqln4	Gene Expression
Ssr2	Ssr2	Gene Expression
Arhgef2	Arhgef2	Gene Expression
Gm43714	Gm43714	Gene Expression
2810403A07Rik	2810403A07Rik	Gene Expression
Rit1	Rit1	Gene Expression
Syt11	Syt11	Gene Expression
Gon4l	Gon4l	Gene Expression
Msto1	Msto1	Gene Expression
Dap3	Dap3	Gene Expression
Ash1l	Ash1l	Gene Expression
Rusc1	Rusc1	Gene Expression
Fdps	Fdps	Gene Expression
Pklr	Pklr	Gene Expression
Hcn3	Hcn3	Gene Expression
Clk2	Clk2	Gene Expression
Scamp3	Scamp3	Gene Expression
Gba	Gba	Gene Expression
Mtx1	Mtx1	Gene Expression
Krtcap2	Krtcap2	Gene Expression
Dpm3	Dpm3	Gene Expression
Slc50a1	Slc50a1	Gene Expression
Efna1	Efna1	Gene Expression
Gm15998	Gm15998	Gene Expression
Adam15	Adam15	Gene Expression
Zbtb7b	Zbtb7b	Gene Expression
Gm15417	Gm15417	Gene Expression
Flad1	Flad1	Gene Expression
Cks1b	Cks1b	Gene Expression
Shc1	Shc1	Gene Expression
Pygo2	Pygo2	Gene Expression
Pbxip1	Pbxip1	Gene Expression
Pmvk	Pmvk	Gene Expression
Adar	Adar	Gene Expression
Chrnb2	Chrnb2	Gene Expression
4632404H12Rik	4632404H12Rik	Gene Expression
Ube2q1	Ube2q1	Gene Expression
She	She	Gene Expression
Il6ra	Il6ra	Gene Expression
Atp8b2	Atp8b2	Gene Expression
Hax1	Hax1	Gene Expression
Ubap2l	Ubap2l	Gene Expression
4933434E20Rik	4933434E20Rik	Gene Expression
Tpm3	Tpm3	Gene Expression
Rps27	Rps27	Gene Expression
Rab13	Rab13	Gene Expression
Jtb	Jtb	Gene Expression
Slc39a1	Slc39a1	Gene Expression
Crtc2	Crtc2	Gene Expression
Dennd4b	Dennd4b	Gene Expression
Gatad2b	Gatad2b	Gene Expression
Slc27a3	Slc27a3	Gene Expression
Ints3	Ints3	Gene Expression
Npr1	Npr1	Gene Expression
Ilf2	Ilf2	Gene Expression
Snapin	Snapin	Gene Expression
Chtop	Chtop	Gene Expression
S100a1	S100a1	Gene Expression
S100a13	S100a13	Gene Expression
S100a16	S100a16	Gene Expression
S100a6	S100a6	Gene Expression
S100a8	S100a8	Gene Expression
Lor	Lor	Gene Expression
Gm9774	Gm9774	Gene Expression
Tchh	Tchh	Gene Expression
S100a11	S100a11	Gene Expression
S100a10	S100a10	Gene Expression
Them4	Them4	Gene Expression
Them5	Them5	Gene Expression
C2cd4d	C2cd4d	Gene Expression
Rorc	Rorc	Gene Expression
Lingo4	Lingo4	Gene Expression
Tdrkh	Tdrkh	Gene Expression
Oaz3	Oaz3	Gene Expression
Mrpl9	Mrpl9	Gene Expression
Snx27	Snx27	Gene Expression
Tuft1	Tuft1	Gene Expression
Selenbp2	Selenbp2	Gene Expression
Cgn	Cgn	Gene Expression
Pogz	Pogz	Gene Expression
Psmb4	Psmb4	Gene Expression
Selenbp1	Selenbp1	Gene Expression
Rfx5	Rfx5	Gene Expression
B230398E01Rik	B230398E01Rik	Gene Expression
Pi4kb	Pi4kb	Gene Expression
Zfp687	Zfp687	Gene Expression
Psmd4	Psmd4	Gene Expression
Pip5k1a	Pip5k1a	Gene Expression
Vps72	Vps72	Gene Expression
Scnm1	Scnm1	Gene Expression
Lysmd1	Lysmd1	Gene Expression
Tnfaip8l2	Tnfaip8l2	Gene Expression
Sema6c	Sema6c	Gene Expression
Gabpb2	Gabpb2	Gene Expression
Gm16740	Gm16740	Gene Expression
Mllt11	Mllt11	Gene Expression
Cdc42se1	Cdc42se1	Gene Expression
Prune1	Prune1	Gene Expression
Mindy1	Mindy1	Gene Expression
Anxa9	Anxa9	Gene Expression
6330562C20Rik	6330562C20Rik	Gene Expression
Cers2	Cers2	Gene Expression
Setdb1	Setdb1	Gene Expression
Gm4349	Gm4349	Gene Expression
Arnt	Arnt	Gene Expression
Ctsk	Ctsk	Gene Expression
Ctss	Ctss	Gene Expression
Golph3l	Golph3l	Gene Expression
Ensa	Ensa	Gene Expression
Mcl1	Mcl1	Gene Expression
Ecm1	Ecm1	Gene Expression
Tars2	Tars2	Gene Expression
Rprd2	Rprd2	Gene Expression
Prpf3	Prpf3	Gene Expression
Mrps21	Mrps21	Gene Expression
C920021L13Rik	C920021L13Rik	Gene Expression
Ciart	Ciart	Gene Expression
BC028528	BC028528	Gene Expression
Aph1a	Aph1a	Gene Expression
Car14	Car14	Gene Expression
Anp32e	Anp32e	Gene Expression
Plekho1	Plekho1	Gene Expression
Vps45	Vps45	Gene Expression
Otud7b	Otud7b	Gene Expression
Mtmr11	Mtmr11	Gene Expression
Gm17690	Gm17690	Gene Expression
Sf3b4	Sf3b4	Gene Expression
Bola1	Bola1	Gene Expression
Hist2h2ab	Hist2h2ab	Gene Expression
Hist2h2ac	Hist2h2ac	Gene Expression
Hist2h2be	Hist2h2be	Gene Expression
Hist2h3c2	Hist2h3c2	Gene Expression
Gm20632	Gm20632	Gene Expression
Gm20633	Gm20633	Gene Expression
Hist2h2aa1	Hist2h2aa1	Gene Expression
Hist2h3c1	Hist2h3c1	Gene Expression
Hist2h4	Hist2h4	Gene Expression
Hist2h3b	Hist2h3b	Gene Expression
Hist2h2bb	Hist2h2bb	Gene Expression
Fcgr1	Fcgr1	Gene Expression
Hfe2	Hfe2	Gene Expression
Txnip	Txnip	Gene Expression
Polr3gl	Polr3gl	Gene Expression
Lix1l	Lix1l	Gene Expression
Rbm8a	Rbm8a	Gene Expression
Pex11b	Pex11b	Gene Expression
Pias3	Pias3	Gene Expression
Polr3c	Polr3c	Gene Expression
Rnf115	Rnf115	Gene Expression
Pdzk1	Pdzk1	Gene Expression
Gpr89	Gpr89	Gene Expression
Acp6	Acp6	Gene Expression
Bcl9	Bcl9	Gene Expression
Chd1l	Chd1l	Gene Expression
Fmo5	Fmo5	Gene Expression
Prkab2	Prkab2	Gene Expression
Pde4dip	Pde4dip	Gene Expression
Sec22b	Sec22b	Gene Expression
Notch2	Notch2	Gene Expression
Hmgcs2	Hmgcs2	Gene Expression
Phgdh	Phgdh	Gene Expression
Zfp697	Zfp697	Gene Expression
Hsd3b5	Hsd3b5	Gene Expression
Hsd3b2	Hsd3b2	Gene Expression
Hsd3b3	Hsd3b3	Gene Expression
Wars2	Wars2	Gene Expression
Wdr3	Wdr3	Gene Expression
Gdap2	Gdap2	Gene Expression
Fam46c	Fam46c	Gene Expression
Man1a2	Man1a2	Gene Expression
Trim45	Trim45	Gene Expression
Ttf2	Ttf2	Gene Expression
Ptgfrn	Ptgfrn	Gene Expression
Igsf3	Igsf3	Gene Expression
Atp1a1	Atp1a1	Gene Expression
Slc22a15	Slc22a15	Gene Expression
Vangl1	Vangl1	Gene Expression
Ngf	Ngf	Gene Expression
Tspan2	Tspan2	Gene Expression
Sike1	Sike1	Gene Expression
Csde1	Csde1	Gene Expression
Nras	Nras	Gene Expression
Bcas2	Bcas2	Gene Expression
Trim33	Trim33	Gene Expression
Olfml3	Olfml3	Gene Expression
Hipk1	Hipk1	Gene Expression
Dclre1b	Dclre1b	Gene Expression
Ap4b1	Ap4b1	Gene Expression
Rsbn1	Rsbn1	Gene Expression
Phtf1os	Phtf1os	Gene Expression
Phtf1	Phtf1	Gene Expression
Magi3	Magi3	Gene Expression
Lrig2	Lrig2	Gene Expression
Slc16a1	Slc16a1	Gene Expression
Rhoc	Rhoc	Gene Expression
Mov10	Mov10	Gene Expression
Capza1	Capza1	Gene Expression
St7l	St7l	Gene Expression
Cttnbp2nl	Cttnbp2nl	Gene Expression
Ddx20	Ddx20	Gene Expression
Fam212b	Fam212b	Gene Expression
Gm43848	Gm43848	Gene Expression
Rap1a	Rap1a	Gene Expression
Atp5f1	Atp5f1	Gene Expression
Wdr77	Wdr77	Gene Expression
Dennd2d	Dennd2d	Gene Expression
Cept1	Cept1	Gene Expression
Dram2	Dram2	Gene Expression
Lrif1	Lrif1	Gene Expression
Cd53	Cd53	Gene Expression
Kcna2	Kcna2	Gene Expression
Cym	Cym	Gene Expression
Prok1	Prok1	Gene Expression
Lamtor5	Lamtor5	Gene Expression
Rbm15	Rbm15	Gene Expression
Strip1	Strip1	Gene Expression
Ahcyl1	Ahcyl1	Gene Expression
Csf1	Csf1	Gene Expression
4933431E20Rik	4933431E20Rik	Gene Expression
Gstm5	Gstm5	Gene Expression
Gstm7	Gstm7	Gene Expression
Gstm6	Gstm6	Gene Expression
Gstm3	Gstm3	Gene Expression
Gstm2	Gstm2	Gene Expression
Gstm1	Gstm1	Gene Expression
Gstm4	Gstm4	Gene Expression
Ampd2	Ampd2	Gene Expression
Gm12500	Gm12500	Gene Expression
Gnat2	Gnat2	Gene Expression
Gnai3	Gnai3	Gene Expression
Amigo1	Amigo1	Gene Expression
Cyb561d1	Cyb561d1	Gene Expression
Atxn7l2	Atxn7l2	Gene Expression
Psma5	Psma5	Gene Expression
Sort1	Sort1	Gene Expression
Psrc1	Psrc1	Gene Expression
Sars	Sars	Gene Expression
Tmem167b	Tmem167b	Gene Expression
Taf13	Taf13	Gene Expression
Wdr47	Wdr47	Gene Expression
Clcc1	Clcc1	Gene Expression
Gpsm2	Gpsm2	Gene Expression
Stxbp3	Stxbp3	Gene Expression
Prpf38b	Prpf38b	Gene Expression
Fam102b	Fam102b	Gene Expression
Slc25a24	Slc25a24	Gene Expression
Vav3	Vav3	Gene Expression
Prmt6	Prmt6	Gene Expression
C130013H08Rik	C130013H08Rik	Gene Expression
Amy1	Amy1	Gene Expression
Rnpc3	Rnpc3	Gene Expression
Olfm3	Olfm3	Gene Expression
S1pr1	S1pr1	Gene Expression
Gm9889	Gm9889	Gene Expression
Dph5	Dph5	Gene Expression
Slc30a7	Slc30a7	Gene Expression
Extl2	Extl2	Gene Expression
Vcam1	Vcam1	Gene Expression
Cdc14a	Cdc14a	Gene Expression
Rtca	Rtca	Gene Expression
Dbt	Dbt	Gene Expression
Lrrc39	Lrrc39	Gene Expression
Trmt13	Trmt13	Gene Expression
Sass6	Sass6	Gene Expression
Mfsd14a	Mfsd14a	Gene Expression
Slc35a3	Slc35a3	Gene Expression
Agl	Agl	Gene Expression
Frrs1	Frrs1	Gene Expression
Palmd	Palmd	Gene Expression
Snx7	Snx7	Gene Expression
Dpyd	Dpyd	Gene Expression
Ptbp2	Ptbp2	Gene Expression
Rwdd3	Rwdd3	Gene Expression
Tmem56	Tmem56	Gene Expression
Alg14	Alg14	Gene Expression
Cnn3	Cnn3	Gene Expression
Slc44a3	Slc44a3	Gene Expression
A530020G20Rik	A530020G20Rik	Gene Expression
A730020M07Rik	A730020M07Rik	Gene Expression
F3	F3	Gene Expression
Abcd3	Abcd3	Gene Expression
Arhgap29	Arhgap29	Gene Expression
Gclm	Gclm	Gene Expression
Dnttip2	Dnttip2	Gene Expression
Bcar3	Bcar3	Gene Expression
Fnbp1l	Fnbp1l	Gene Expression
Gm43569	Gm43569	Gene Expression
Gm43568	Gm43568	Gene Expression
Pde5a	Pde5a	Gene Expression
4933405D12Rik	4933405D12Rik	Gene Expression
Fabp2	Fabp2	Gene Expression
1810037I17Rik	1810037I17Rik	Gene Expression
Usp53	Usp53	Gene Expression
Synpo2	Synpo2	Gene Expression
Sec24d	Sec24d	Gene Expression
Mettl14	Mettl14	Gene Expression
Camk2d	Camk2d	Gene Expression
Ank2	Ank2	Gene Expression
Larp7	Larp7	Gene Expression
Zgrf1	Zgrf1	Gene Expression
Alpk1	Alpk1	Gene Expression
Tifa	Tifa	Gene Expression
Ap1ar	Ap1ar	Gene Expression
Fam241a	Fam241a	Gene Expression
Enpep	Enpep	Gene Expression
Gm35986	Gm35986	Gene Expression
Elovl6	Elovl6	Gene Expression
Egf	Egf	Gene Expression
Gar1	Gar1	Gene Expression
Cfi	Cfi	Gene Expression
Pla2g12a	Pla2g12a	Gene Expression
Casp6	Casp6	Gene Expression
Sec24b	Sec24b	Gene Expression
Etnppl	Etnppl	Gene Expression
Ostc	Ostc	Gene Expression
Rpl34	Rpl34	Gene Expression
Hadh	Hadh	Gene Expression
Cyp2u1	Cyp2u1	Gene Expression
4930534D22Rik	4930534D22Rik	Gene Expression
Sgms2	Sgms2	Gene Expression
Papss1	Papss1	Gene Expression
Gimd1	Gimd1	Gene Expression
Aimp1	Aimp1	Gene Expression
Tbck	Tbck	Gene Expression
Gstcd	Gstcd	Gene Expression
Ints12	Ints12	Gene Expression
Gm43254	Gm43254	Gene Expression
Ppa2	Ppa2	Gene Expression
Tet2	Tet2	Gene Expression
Gm30648	Gm30648	Gene Expression
Cxxc4	Cxxc4	Gene Expression
Cenpe	Cenpe	Gene Expression
Bdh2	Bdh2	Gene Expression
Cisd2	Cisd2	Gene Expression
Ube2d3	Ube2d3	Gene Expression
Manba	Manba	Gene Expression
Nfkb1	Nfkb1	Gene Expression
Slc39a8	Slc39a8	Gene Expression
Bank1	Bank1	Gene Expression
Ppp3ca	Ppp3ca	Gene Expression
Emcn	Emcn	Gene Expression
Ddit4l	Ddit4l	Gene Expression
H2afz	H2afz	Gene Expression
Dnajb14	Dnajb14	Gene Expression
Lamtor3	Lamtor3	Gene Expression
Dapp1	Dapp1	Gene Expression
Mttp	Mttp	Gene Expression
Trmt10a	Trmt10a	Gene Expression
0610031O16Rik	0610031O16Rik	Gene Expression
Adh7	Adh7	Gene Expression
Adh1	Adh1	Gene Expression
Adh4	Adh4	Gene Expression
Adh5	Adh5	Gene Expression
Metap1	Metap1	Gene Expression
Eif4e	Eif4e	Gene Expression
Tspan5	Tspan5	Gene Expression
Rap1gds1	Rap1gds1	Gene Expression
Unc5c	Unc5c	Gene Expression
Pdlim5	Pdlim5	Gene Expression
Gbp5	Gbp5	Gene Expression
Gbp7	Gbp7	Gene Expression
Gbp3	Gbp3	Gene Expression
Gbp2b	Gbp2b	Gene Expression
Gbp2	Gbp2	Gene Expression
Kyat3	Kyat3	Gene Expression
Gtf2b	Gtf2b	Gene Expression
Pkn2	Pkn2	Gene Expression
Lmo4	Lmo4	Gene Expression
Hs2st1	Hs2st1	Gene Expression
Selenof	Selenof	Gene Expression
Sh3glb1	Sh3glb1	Gene Expression
Clca3a1	Clca3a1	Gene Expression
Odf2l	Odf2l	Gene Expression
Znhit6	Znhit6	Gene Expression
Cyr61	Cyr61	Gene Expression
Ddah1	Ddah1	Gene Expression
Bcl10	Bcl10	Gene Expression
2410004B18Rik	2410004B18Rik	Gene Expression
Syde2	Syde2	Gene Expression
Ssx2ip	Ssx2ip	Gene Expression
Ctbs	Ctbs	Gene Expression
Spata1	Spata1	Gene Expression
Gng5	Gng5	Gene Expression
Rpf1	Rpf1	Gene Expression
Uox	Uox	Gene Expression
Dnase2b	Dnase2b	Gene Expression
Prkacb	Prkacb	Gene Expression
Ttll7	Ttll7	Gene Expression
Adgrl2	Adgrl2	Gene Expression
Gm43573	Gm43573	Gene Expression
Gm31121	Gm31121	Gene Expression
Adgrl4	Adgrl4	Gene Expression
Ifi44	Ifi44	Gene Expression
Gipc2	Gipc2	Gene Expression
Dnajb4	Dnajb4	Gene Expression
Fubp1	Fubp1	Gene Expression
Nexn	Nexn	Gene Expression
Miga1	Miga1	Gene Expression
Usp33	Usp33	Gene Expression
Zzz3	Zzz3	Gene Expression
Pigk	Pigk	Gene Expression
St6galnac3	St6galnac3	Gene Expression
Rabggtb	Rabggtb	Gene Expression
Acadm	Acadm	Gene Expression
Tyw3	Tyw3	Gene Expression
Cryz	Cryz	Gene Expression
Fpgt	Fpgt	Gene Expression
Lrriq3	Lrriq3	Gene Expression
Zranb2	Zranb2	Gene Expression
Cth	Cth	Gene Expression
1810013D15Rik	1810013D15Rik	Gene Expression
Ankrd13c	Ankrd13c	Gene Expression
Srsf11	Srsf11	Gene Expression
Lrrc40	Lrrc40	Gene Expression
Depdc1a	Depdc1a	Gene Expression
Wls	Wls	Gene Expression
Tmem68	Tmem68	Gene Expression
Tgs1	Tgs1	Gene Expression
Lyn	Lyn	Gene Expression
Rps20	Rps20	Gene Expression
Chchd7	Chchd7	Gene Expression
Gm11808	Gm11808	Gene Expression
Impad1	Impad1	Gene Expression
Fam110b	Fam110b	Gene Expression
Ubxn2b	Ubxn2b	Gene Expression
Cyp7a1	Cyp7a1	Gene Expression
Sdcbp	Sdcbp	Gene Expression
Nsmaf	Nsmaf	Gene Expression
Tox	Tox	Gene Expression
Car8	Car8	Gene Expression
Rab2a	Rab2a	Gene Expression
Chd7	Chd7	Gene Expression
Asph	Asph	Gene Expression
2610301B20Rik	2610301B20Rik	Gene Expression
Plekhf2	Plekhf2	Gene Expression
Ndufaf6	Ndufaf6	Gene Expression
Gm11827	Gm11827	Gene Expression
Trp53inp1	Trp53inp1	Gene Expression
Ccne2	Ccne2	Gene Expression
Ints8	Ints8	Gene Expression
Dpy19l4	Dpy19l4	Gene Expression
Virma	Virma	Gene Expression
Rad54b	Rad54b	Gene Expression
Fsbp	Fsbp	Gene Expression
Gm11832	Gm11832	Gene Expression
Gem	Gem	Gene Expression
Pdp1	Pdp1	Gene Expression
Tmem67	Tmem67	Gene Expression
Rbm12b2	Rbm12b2	Gene Expression
Rbm12b1	Rbm12b1	Gene Expression
Fam92a	Fam92a	Gene Expression
Otud6b	Otud6b	Gene Expression
Tmem55a	Tmem55a	Gene Expression
Gm11837	Gm11837	Gene Expression
Necab1	Necab1	Gene Expression
Tmem64	Tmem64	Gene Expression
Decr1	Decr1	Gene Expression
Nbn	Nbn	Gene Expression
Osgin2	Osgin2	Gene Expression
Ripk2	Ripk2	Gene Expression
Cpne3	Cpne3	Gene Expression
Rmdn1	Rmdn1	Gene Expression
Wwp1	Wwp1	Gene Expression
Gm12354	Gm12354	Gene Expression
Atp6v0d2	Atp6v0d2	Gene Expression
4930480G23Rik	4930480G23Rik	Gene Expression
Ttpa	Ttpa	Gene Expression
Ggh	Ggh	Gene Expression
Ccnc	Ccnc	Gene Expression
Tstd3	Tstd3	Gene Expression
Usp45	Usp45	Gene Expression
Pnisr	Pnisr	Gene Expression
Coq3	Coq3	Gene Expression
Fbxl4	Fbxl4	Gene Expression
Mms22l	Mms22l	Gene Expression
Ndufaf4	Ndufaf4	Gene Expression
Ufl1	Ufl1	Gene Expression
Manea	Manea	Gene Expression
Epha7	Epha7	Gene Expression
Map3k7	Map3k7	Gene Expression
Bach2	Bach2	Gene Expression
Bach2os	Bach2os	Gene Expression
Casp8ap2	Casp8ap2	Gene Expression
Mdn1	Mdn1	Gene Expression
Lyrm2	Lyrm2	Gene Expression
Rragd	Rragd	Gene Expression
Ube2j1	Ube2j1	Gene Expression
Pm20d2	Pm20d2	Gene Expression
Pnrc1	Pnrc1	Gene Expression
Rngtt	Rngtt	Gene Expression
Akirin2	Akirin2	Gene Expression
Orc3	Orc3	Gene Expression
Rars2	Rars2	Gene Expression
Slc35a1	Slc35a1	Gene Expression
Smim8	Smim8	Gene Expression
Zfp292	Zfp292	Gene Expression
Mob3b	Mob3b	Gene Expression
3110043O21Rik	3110043O21Rik	Gene Expression
Aco1	Aco1	Gene Expression
Ddx58	Ddx58	Gene Expression
Topors	Topors	Gene Expression
Smim27	Smim27	Gene Expression
Ndufb6	Ndufb6	Gene Expression
Aptx	Aptx	Gene Expression
Dnaja1	Dnaja1	Gene Expression
Smu1	Smu1	Gene Expression
B4galt1	B4galt1	Gene Expression
Bag1	Bag1	Gene Expression
Chmp5	Chmp5	Gene Expression
Nfx1	Nfx1	Gene Expression
Nol6	Nol6	Gene Expression
Ube2r2	Ube2r2	Gene Expression
Ubap2	Ubap2	Gene Expression
Dcaf12	Dcaf12	Gene Expression
Ubap1	Ubap1	Gene Expression
Kif24	Kif24	Gene Expression
Nudt2	Nudt2	Gene Expression
AI464131	AI464131	Gene Expression
Fam219a	Fam219a	Gene Expression
Dnaic1	Dnaic1	Gene Expression
Enho	Enho	Gene Expression
Gm12405	Gm12405	Gene Expression
Cntfr	Cntfr	Gene Expression
Il11ra1	Il11ra1	Gene Expression
Rpp25l	Rpp25l	Gene Expression
Dctn3	Dctn3	Gene Expression
Sigmar1	Sigmar1	Gene Expression
Galt	Galt	Gene Expression
Ccl27a	Ccl27a	Gene Expression
Gm10600	Gm10600	Gene Expression
Ccl19	Ccl19	Gene Expression
Dnajb5	Dnajb5	Gene Expression
Vcp	Vcp	Gene Expression
Fancg	Fancg	Gene Expression
Pigo	Pigo	Gene Expression
Stoml2	Stoml2	Gene Expression
Fam214b	Fam214b	Gene Expression
Gm26881	Gm26881	Gene Expression
Unc13b	Unc13b	Gene Expression
Atp8b5	Atp8b5	Gene Expression
Rusc2	Rusc2	Gene Expression
Tesk1	Tesk1	Gene Expression
Cd72	Cd72	Gene Expression
AL732506.1	AL732506.1	Gene Expression
Ccdc107	Ccdc107	Gene Expression
Arhgef39	Arhgef39	Gene Expression
Car9	Car9	Gene Expression
Tpm2	Tpm2	Gene Expression
Tln1	Tln1	Gene Expression
Creb3	Creb3	Gene Expression
Gba2	Gba2	Gene Expression
Rgp1	Rgp1	Gene Expression
Npr2	Npr2	Gene Expression
Hint2	Hint2	Gene Expression
Fam221b	Fam221b	Gene Expression
Tmem8b	Tmem8b	Gene Expression
Reck	Reck	Gene Expression
Glipr2	Glipr2	Gene Expression
Clta	Clta	Gene Expression
Gne	Gne	Gene Expression
Rnf38	Rnf38	Gene Expression
Melk	Melk	Gene Expression
Zcchc7	Zcchc7	Gene Expression
Gm12679	Gm12679	Gene Expression
Grhpr	Grhpr	Gene Expression
Zbtb5	Zbtb5	Gene Expression
1700055D18Rik	1700055D18Rik	Gene Expression
Polr1e	Polr1e	Gene Expression
Fbxo10	Fbxo10	Gene Expression
Tomm5	Tomm5	Gene Expression
Trmt10b	Trmt10b	Gene Expression
Exosc3	Exosc3	Gene Expression
Dcaf10	Dcaf10	Gene Expression
Slc25a51	Slc25a51	Gene Expression
Shb	Shb	Gene Expression
Aldh1b1	Aldh1b1	Gene Expression
Stra6l	Stra6l	Gene Expression
Tdrd7	Tdrd7	Gene Expression
Tmod1	Tmod1	Gene Expression
Tstd2	Tstd2	Gene Expression
Ncbp1	Ncbp1	Gene Expression
Xpa	Xpa	Gene Expression
Trmo	Trmo	Gene Expression
Anp32b	Anp32b	Gene Expression
Nans	Nans	Gene Expression
Trim14	Trim14	Gene Expression
Coro2a	Coro2a	Gene Expression
Tbc1d2	Tbc1d2	Gene Expression
Gabbr2	Gabbr2	Gene Expression
Col15a1	Col15a1	Gene Expression
Tgfbr1	Tgfbr1	Gene Expression
Alg2	Alg2	Gene Expression
Sec61b	Sec61b	Gene Expression
Stx17	Stx17	Gene Expression
Erp44	Erp44	Gene Expression
Invs	Invs	Gene Expression
Tex10	Tex10	Gene Expression
Msantd3	Msantd3	Gene Expression
Plppr1	Plppr1	Gene Expression
Acnat2	Acnat2	Gene Expression
Acnat1	Acnat1	Gene Expression
Baat	Baat	Gene Expression
Mrpl50	Mrpl50	Gene Expression
Zfp189	Zfp189	Gene Expression
Aldob	Aldob	Gene Expression
Tmem246	Tmem246	Gene Expression
Rnf20	Rnf20	Gene Expression
Smc2os	Smc2os	Gene Expression
Smc2	Smc2	Gene Expression
Nipsnap3b	Nipsnap3b	Gene Expression
Abca1	Abca1	Gene Expression
Slc44a1	Slc44a1	Gene Expression
Fsd1l	Fsd1l	Gene Expression
Fktn	Fktn	Gene Expression
Tmem38b	Tmem38b	Gene Expression
Rad23b	Rad23b	Gene Expression
Klf4	Klf4	Gene Expression
Ikbkap	Ikbkap	Gene Expression
Fam206a	Fam206a	Gene Expression
Ctnnal1	Ctnnal1	Gene Expression
Tmem245	Tmem245	Gene Expression
Epb41l4b	Epb41l4b	Gene Expression
Ptpn3	Ptpn3	Gene Expression
Akap2	Akap2	Gene Expression
D630039A03Rik	D630039A03Rik	Gene Expression
Txn1	Txn1	Gene Expression
Lpar1	Lpar1	Gene Expression
AI314180	AI314180	Gene Expression
Ptgr1	Ptgr1	Gene Expression
Dnajc25	Dnajc25	Gene Expression
Gng10	Gng10	Gene Expression
Ugcg	Ugcg	Gene Expression
Susd1	Susd1	Gene Expression
Ptbp3	Ptbp3	Gene Expression
Hsdl2	Hsdl2	Gene Expression
E130308A19Rik	E130308A19Rik	Gene Expression
Inip	Inip	Gene Expression
Snx30	Snx30	Gene Expression
Mup6	Mup6	Gene Expression
Mup7	Mup7	Gene Expression
Mup2	Mup2	Gene Expression
Mup8	Mup8	Gene Expression
Mup9	Mup9	Gene Expression
Mup1	Mup1	Gene Expression
Mup10	Mup10	Gene Expression
Mup11	Mup11	Gene Expression
Mup12	Mup12	Gene Expression
Gm21320	Gm21320	Gene Expression
Mup13	Mup13	Gene Expression
Mup14	Mup14	Gene Expression
Mup15	Mup15	Gene Expression
Mup16	Mup16	Gene Expression
Mup17	Mup17	Gene Expression
Mup18	Mup18	Gene Expression
Mup19	Mup19	Gene Expression
Mup5	Mup5	Gene Expression
Mup20	Mup20	Gene Expression
Mup3	Mup3	Gene Expression
Gm12909	Gm12909	Gene Expression
Mup21	Mup21	Gene Expression
Zfp37	Zfp37	Gene Expression
Slc31a2	Slc31a2	Gene Expression
Fkbp15	Fkbp15	Gene Expression
Slc31a1	Slc31a1	Gene Expression
Cdc26	Cdc26	Gene Expression
Prpf4	Prpf4	Gene Expression
Bspry	Bspry	Gene Expression
Hdhd3	Hdhd3	Gene Expression
Alad	Alad	Gene Expression
Pole3	Pole3	Gene Expression
Rgs3	Rgs3	Gene Expression
Zfp618	Zfp618	Gene Expression
Ambp	Ambp	Gene Expression
Col27a1	Col27a1	Gene Expression
Orm1	Orm1	Gene Expression
Orm3	Orm3	Gene Expression
Orm2	Orm2	Gene Expression
Whrn	Whrn	Gene Expression
Atp6v1g1	Atp6v1g1	Gene Expression
Tmem268	Tmem268	Gene Expression
Trim32	Trim32	Gene Expression
Tlr4	Tlr4	Gene Expression
Cdk5rap2	Cdk5rap2	Gene Expression
Megf9	Megf9	Gene Expression
Tle1	Tle1	Gene Expression
Kdm4c	Kdm4c	Gene Expression
A230083N12Rik	A230083N12Rik	Gene Expression
Dmac1	Dmac1	Gene Expression
Ptprd	Ptprd	Gene Expression
Lurap1l	Lurap1l	Gene Expression
Mpdz	Mpdz	Gene Expression
Nfib	Nfib	Gene Expression
Gm11266	Gm11266	Gene Expression
Zdhhc21	Zdhhc21	Gene Expression
Ttc39b	Ttc39b	Gene Expression
Snapc3	Snapc3	Gene Expression
Psip1	Psip1	Gene Expression
Ccdc171	Ccdc171	Gene Expression
Cntln	Cntln	Gene Expression
Rraga	Rraga	Gene Expression
Haus6	Haus6	Gene Expression
Plin2	Plin2	Gene Expression
Dennd4c	Dennd4c	Gene Expression
Rps6	Rps6	Gene Expression
Acer2	Acer2	Gene Expression
Mllt3	Mllt3	Gene Expression
Focad	Focad	Gene Expression
Hacd4	Hacd4	Gene Expression
Klhl9	Klhl9	Gene Expression
Mtap	Mtap	Gene Expression
Cdkn2b	Cdkn2b	Gene Expression
Tusc1	Tusc1	Gene Expression
Caap1	Caap1	Gene Expression
Plaa	Plaa	Gene Expression
Ift74	Ift74	Gene Expression
Tek	Tek	Gene Expression
Mysm1	Mysm1	Gene Expression
Jun	Jun	Gene Expression
Junos	Junos	Gene Expression
Fggy	Fggy	Gene Expression
Hook1	Hook1	Gene Expression
Cyp2j6	Cyp2j6	Gene Expression
Cyp2j9	Cyp2j9	Gene Expression
Cyp2j5	Cyp2j5	Gene Expression
Nfia	Nfia	Gene Expression
