Symbol	RNA
Trak2	Trak2	Gene Expression
Stradb	Stradb	Gene Expression
Tmem237	Tmem237	Gene Expression
G730003C15Rik	G730003C15Rik	Gene Expression
Mpp4	Mpp4	Gene Expression
Als2	Als2	Gene Expression
Fzd7	Fzd7	Gene Expression
Sumo1	Sumo1	Gene Expression
Nop58	Nop58	Gene Expression
Bmpr2	Bmpr2	Gene Expression
Fam117b	Fam117b	Gene Expression
Wdr12	Wdr12	Gene Expression
Carf	Carf	Gene Expression
Nbeal1	Nbeal1	Gene Expression
Cyp20a1	Cyp20a1	Gene Expression
Abi2	Abi2	Gene Expression
Raph1	Raph1	Gene Expression
Pard3b	Pard3b	Gene Expression
Pard3bos3	Pard3bos3	Gene Expression
Nrp2	Nrp2	Gene Expression
Ino80d	Ino80d	Gene Expression
Ino80dos	Ino80dos	Gene Expression
Gm20342	Gm20342	Gene Expression
Ndufs1	Ndufs1	Gene Expression
Eef1b2	Eef1b2	Gene Expression
Adam23	Adam23	Gene Expression
Fastkd2	Fastkd2	Gene Expression
Klf7	Klf7	Gene Expression
Creb1	Creb1	Gene Expression
Mettl21a	Mettl21a	Gene Expression
Ccnyl1	Ccnyl1	Gene Expression
Fzd5	Fzd5	Gene Expression
Plekhm3	Plekhm3	Gene Expression
Idh1	Idh1	Gene Expression
Pikfyve	Pikfyve	Gene Expression
Rpe	Rpe	Gene Expression
Kansl1l	Kansl1l	Gene Expression
Acadl	Acadl	Gene Expression
Lancl1	Lancl1	Gene Expression
Cps1	Cps1	Gene Expression
Bard1	Bard1	Gene Expression
Atic	Atic	Gene Expression
Fn1	Fn1	Gene Expression
Apol7d	Apol7d	Gene Expression
Gm8883	Gm8883	Gene Expression
Gm28818	Gm28818	Gene Expression
Mreg	Mreg	Gene Expression
D230017M19Rik	D230017M19Rik	Gene Expression
Pecr	Pecr	Gene Expression
Tmem169	Tmem169	Gene Expression
Xrcc5	Xrcc5	Gene Expression
Smarcal1	Smarcal1	Gene Expression
Rpl37a	Rpl37a	Gene Expression
Igfbp2	Igfbp2	Gene Expression
Igfbp5	Igfbp5	Gene Expression
Tns1	Tns1	Gene Expression
Arpc2	Arpc2	Gene Expression
Aamp	Aamp	Gene Expression
Pnkd	Pnkd	Gene Expression
Tmbim1	Tmbim1	Gene Expression
Slc11a1	Slc11a1	Gene Expression
Ctdsp1	Ctdsp1	Gene Expression
Usp37	Usp37	Gene Expression
Cnot9	Cnot9	Gene Expression
Zfp142	Zfp142	Gene Expression
Bcs1l	Bcs1l	Gene Expression
Rnf25	Rnf25	Gene Expression
Stk36	Stk36	Gene Expression
Ttll4	Ttll4	Gene Expression
Cyp27a1	Cyp27a1	Gene Expression
Ihh	Ihh	Gene Expression
Nhej1	Nhej1	Gene Expression
Slc23a3	Slc23a3	Gene Expression
Cnppd1	Cnppd1	Gene Expression
Retreg2	Retreg2	Gene Expression
Zfand2b	Zfand2b	Gene Expression
Abcb6	Abcb6	Gene Expression
Atg9a	Atg9a	Gene Expression
Ankzf1	Ankzf1	Gene Expression
Glb1l	Glb1l	Gene Expression
Stk16	Stk16	Gene Expression
Tuba4a	Tuba4a	Gene Expression
Dnajb2	Dnajb2	Gene Expression
Dnpep	Dnpep	Gene Expression
Des	Des	Gene Expression
Gmppa	Gmppa	Gene Expression
Chpf	Chpf	Gene Expression
Obsl1	Obsl1	Gene Expression
Stk11ip	Stk11ip	Gene Expression
Farsb	Farsb	Gene Expression
Mogat1	Mogat1	Gene Expression
Acsl3	Acsl3	Gene Expression
Utp14b	Utp14b	Gene Expression
Ap1s3	Ap1s3	Gene Expression
Wdfy1	Wdfy1	Gene Expression
Mrpl44	Mrpl44	Gene Expression
Serpine2	Serpine2	Gene Expression
Cul3	Cul3	Gene Expression
Dock10	Dock10	Gene Expression
Irs1	Irs1	Gene Expression
Rhbdd1	Rhbdd1	Gene Expression
Mff	Mff	Gene Expression
Tm4sf20	Tm4sf20	Gene Expression
